ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
414,fix,2017-04-05 13:10:00,zoran regvart,['resolution']
415,get,2017-04-05 13:17:00,zoran regvart,['rest']
416,pull,2017-04-05 14:03:00,asf github,['request']
417,request,2017-04-05 14:03:00,asf github,['request']
418,work,2017-04-05 14:03:00,asf github,['number']
419,do,2017-04-05 14:03:00,asf github,['progress']
420,merge,2017-04-05 14:03:00,asf github,['number']
421,merge,2017-04-05 14:03:00,asf github,['number']
422,pull,2017-04-05 14:03:00,asf github,['request']
423,request,2017-04-05 14:03:00,asf github,['request']
424,pull,2017-04-05 14:03:00,asf github,['request']
425,apply,2017-04-05 14:03:00,asf github,['review']
426,patch,2017-04-05 14:03:00,asf github,['change']
427,close,2017-04-05 14:03:00,asf github,['change']
428,pull,2017-04-05 14:03:00,asf github,['request']
429,request,2017-04-05 14:03:00,asf github,['request']
430,make,2017-04-05 14:03:00,asf github,['pull']
431,commit,2017-04-05 14:03:00,asf github,['request']
432,commit,2017-04-05 14:03:00,asf github,['request']
433,close,2017-04-05 14:03:00,asf github,['change']
434,commit,2017-04-05 14:03:00,asf github,['request']
435,fix,2017-04-06 09:51:00,claus ibsen,['case']
436,fix,2017-04-06 11:01:00,claus ibsen,['resolution']
437,fix,2017-04-06 11:01:00,claus ibsen,['resolution']
438,pull,2017-04-06 11:08:00,asf github,['pull']
439,request,2017-04-06 11:08:00,asf github,['pull']
440,pull,,asf github,['pull']
441,request,,asf github,['pull']
442,create,2017-04-05 14:31:00,atlassian jira,['summary']
443,fix,2017-04-05 14:31:00,atlassian jira,['ferraro']
444,use,2017-04-05 14:31:00,atlassian jira,['implementation']
445,add,2017-04-05 15:21:00,dmitry volodin,['method']
446,add,,dmitry volodin,['method']
447,work,2017-04-05 15:57:00,,['work']
448,open,2017-04-06 08:19:00,,['module']
449,provide,2017-04-06 08:19:00,,['default']
450,try,2017-04-06 08:19:00,,['sslcontextparameters']
451,comment,2017-04-06 08:20:00,,['comment']
452,open,2017-04-06 08:20:00,,['module']
453,provide,2017-04-06 08:20:00,,['default']
454,try,2017-04-06 08:20:00,,['sslcontextparameters']
455,open,2017-04-06 08:20:00,,['module']
456,provide,2017-04-06 08:20:00,,['default']
457,try,2017-04-06 08:20:00,,['sslcontextparameters']
458,pull,2017-04-07 17:39:00,asf github,['request']
459,request,2017-04-07 17:39:00,asf github,['request']
460,add,2017-04-07 17:39:00,asf github,['review']
461,add,2017-04-07 17:39:00,asf github,['review']
462,create,2017-04-07 17:39:00,asf github,
463,take,2017-04-07 17:39:00,asf github,['care']
464,make,2017-04-07 17:39:00,asf github,['class']
465,use,2017-04-07 17:39:00,asf github,['default']
466,need,2017-04-07 17:39:00,asf github,['component']
